timestamp,name,group,task,method,status,returncode,duration_sec,dev_acc,train_loss,trainable_percent,command,log_file,notes
2026-05-16T13:07:15,sentiment_last_linear_layer,comparison,sentiment,last-linear-layer,dry-run,,0,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 classifier.py --epochs 1 --batch_size 8 --lr 1e-05 --fine-tune-mode last-linear-layer,,
2026-05-16T13:07:15,sentiment_full_model,comparison,sentiment,full-model,dry-run,,0,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 classifier.py --epochs 1 --batch_size 8 --lr 1e-05 --fine-tune-mode full-model,,
2026-05-16T13:07:15,sentiment_lora_r4,comparison,sentiment,lora,dry-run,,0,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 classifier.py --epochs 1 --batch_size 8 --lr 1e-05 --fine-tune-mode last-linear-layer --enable_lora --lora_r 4 --lora_alpha 1.0 --lora_target_modules query value,,
2026-05-16T13:07:15,sentiment_reft_placeholder,comparison,sentiment,reft,dry-run,,0,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 classifier.py --epochs 1 --batch_size 8 --lr 1e-05 --fine-tune-mode full-model --enable_reft,,ReFT placeholder. Assumes --enable_reft exists but does nothing until ReFT is implemented.
2026-05-16T13:07:15,paraphrase_full_model,comparison,paraphrase,full-model,dry-run,,0,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 paraphrase_detection.py --epochs 1 --batch_size 8 --lr 1e-05,,
2026-05-16T13:07:15,paraphrase_lora_r4,comparison,paraphrase,lora,dry-run,,0,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 paraphrase_detection.py --epochs 1 --batch_size 8 --lr 1e-05 --enable_lora --lora_r 4 --lora_alpha 1.0 --lora_target_modules query value,,
2026-05-16T13:07:15,paraphrase_reft_placeholder,comparison,paraphrase,reft,dry-run,,0,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 paraphrase_detection.py --epochs 1 --batch_size 8 --lr 1e-05 --enable_reft,,ReFT placeholder. Assumes --enable_reft exists but does nothing until ReFT is implemented.
2026-05-16T13:07:15,sonnet_full_model,comparison,sonnet,full-model,dry-run,,0,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 sonnet_generation.py --epochs 1 --batch_size 8 --lr 1e-05 --temperature 1.2 --top_p 0.9,,
2026-05-16T13:07:15,sonnet_lora_r4,comparison,sonnet,lora,dry-run,,0,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 sonnet_generation.py --epochs 1 --batch_size 8 --lr 1e-05 --enable_lora --lora_r 4 --lora_alpha 1.0 --lora_target_modules query value --temperature 1.2 --top_p 0.9,,
2026-05-16T13:07:15,sonnet_reft_placeholder,comparison,sonnet,reft,dry-run,,0,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 sonnet_generation.py --epochs 1 --batch_size 8 --lr 1e-05 --enable_reft --temperature 1.2 --top_p 0.9,,ReFT placeholder. Assumes --enable_reft exists but does nothing until ReFT is implemented.
2026-05-16T13:15:48,sonnet_full_model,comparison,sonnet,full-model,ok,0,218.83,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 sonnet_generation.py --epochs 1 --batch_size 8 --lr 1e-05 --temperature 1.2 --top_p 0.9,experiments/logs/20260516_131209_sonnet_full_model.log,
2026-05-16T13:32:24,sentiment_last_linear_layer,comparison,sentiment,last-linear-layer,dry-run,,0,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 classifier.py --epochs 1 --batch_size 8 --lr 1e-05 --fine-tune-mode last-linear-layer,,
2026-05-16T13:32:24,sentiment_full_model,comparison,sentiment,full-model,dry-run,,0,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 classifier.py --epochs 1 --batch_size 8 --lr 1e-05 --fine-tune-mode full-model,,
2026-05-16T13:32:24,sentiment_lora_r4,comparison,sentiment,lora,dry-run,,0,,,,/home/david-isfc/miniconda3/envs/cs224n_dfp/bin/python3 classifier.py --epochs 1 --batch_size 8 --lr 1e-05 --fine-tune-mode last-linear-layer --enable_lora --lora_r 4 --lora_alpha 1.0 --lora_target_modules query value,,
